adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/dDYpjrwh1wNVQk0rEpc9P81wQt4.jpg,"[18, 10749, 10402]",332562,en,A Star Is Born,"Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally. She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.",46.178,/wrFpXMNBRj2PBiN4Z5kix51XaIZ.jpg,2018-10-03,A Star Is Born,False,7.5,10519
False,/fLrGQzvfhTwn9m7AqlJh65FMFfG.jpg,"[28, 18, 53]",109424,en,Captain Phillips,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",20.143,/2x8ida0rHokUv80Ah4eBNb2eXas.jpg,2013-10-10,Captain Phillips,False,7.6,6015
False,/5vPW6MPAyCFd84FEQQgtPDmVDPQ.jpg,"[35, 18]",120467,en,The Grand Budapest Hotel,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",39.8,/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg,2014-02-26,The Grand Budapest Hotel,False,8.1,12781
False,/iggR5fznBuOvLsInMghjcVNTXSf.jpg,"[35, 18, 10749]",79247,pl,Wyjazd integracyjny,"Three guys (John Cena, Tomasz Karolak, John Frycz) and a beautiful girl (Katarzyna Glinka). Their fate will combine the integration leaving the title that is out of control and become a true Recreational apocalypse. The film integrates ensemble acting team - apart from those in an event attended by Katarzyna Figura, Slawomir Orzechowski, Bartlomiej Topa, Grzegorz Halama, Mariusz Czajka, Robert Gonera, Zbigniew Buczkowski, Jaroslaw Jakimowicz and Miroslaw Zbrojewicz and support their comic performances of African, Eskimo, pair of Norwegians and ... Indian team disco. The sum of all kaców just in front of you!",2.029,/4yiQWReCBuTUHFZ5Lp9w7HRWRu9.jpg,2011-11-04,Wyjazd integracyjny,False,3.7,17
False,/ff2ti5DkA9UYLzyqhQfI2kZqEuh.jpg,"[28, 53]",245891,en,John Wick,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,139.258,/fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg,2014-10-22,John Wick,False,7.4,16276
False,,[18],341087,it,Narcos,Three drug traffickers become worried when the realize they may have outlived their usefulness to their boss.,3.648,/lZenUR45Ka0uO7c92t9P3DQTvuz.jpg,1992-05-21,Narcos,False,7.6,11
False,/pIRrWfRdx5rICNQa960YgOQEgtA.jpg,"[80, 18, 53]",385332,en,Terminal,"In the dark heart of a sprawling, anonymous city, two assassins carry out a sinister mission, a teacher battles a fatal illness, and an enigmatic janitor and a curious waitress lead dangerous double lives.  Murderous consequences unravel in the dead of night, as their lives intertwine at the hands of a mysterious criminal mastermind who is hell-bent on revenge.",16.244,/xi7pA3lL6Wb78p6Y6PgWoHDMjrM.jpg,2018-05-10,Terminal,False,5.5,664
False,/sPPsR9f4K0movWVQ99u4uMqFzEL.jpg,"[10749, 878, 18]",152601,en,Her,"In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",30.744,/yk4J4aewWYNiBhD49WD7UaBBn37.jpg,2013-12-18,Her,False,7.9,12538
False,/fRGxZuo7jJUWQsVg9PREb98Aclp.jpg,"[18, 10402]",244786,en,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",61.081,/E1fpfU9cMCgFYL3QPvJr3vt20X.jpg,2014-10-10,Whiplash,False,8.4,12735
False,/3tWw50B1xXlCnJ9A7NX4nNzZF4j.jpg,"[35, 18, 10749]",350,en,The Devil Wears Prada,"Andy moves to New York to work in the fashion industry. Her boss is extremely demanding, cruel and won't let her succeed if she doesn't fit into the high class elegant look of their magazine.",105.957,/8912AsVuS7Sj915apArUFbv6F9L.jpg,2006-06-29,The Devil Wears Prada,False,7.4,10354
